name,url,description
Apple,https://www.apple.com/jobs/us/,"We are a diverse collective of thinkers and doers, continuously reimagining our products and practices to help people do what they love in new ways. That innovation is inspired by a shared commitment to great work and to each other. Because learning from the people here means we are learning from the best."
IBM,https://careers.ibm.com/,"At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible."
Boeing,https://jobs.boeing.com/location/united-states-jobs/,"Boeing is more than an aerospace leader. We connect, protect, explore and inspire the world. We are teams of history makers and bold innovators. Every day, our people work together to solve challenges that touch lives around the world. Our innovations help protect the planet and give humanity new tools to help explore the universe. All of us are focused on building a better tomorrow. The future is built here."
Paperless Post,https://www.paperlesspost.com/about/,"All of our product is designed, developed, and deployed in house. We are serious about what we do, how we do it, and making sure we are scaling quickly and smartly."
Court Buddy,https://www.courtbuddy.com/,"Court Buddy is an award-winning legal tech platform that is democratizing legal fees by allowing people to get matched with vetted solo attorneys based on the clients budget. Court Buddy's patent-pending technology matches consumers for a-la-carte legal services at flat rates, eliminating the hourly fee and upfront retainer making legal services accessible to people who cannot afford traditional law firm fees and who also do not qualify for free legal services"
Twitter,https://careers.twitter.com/en.html,"We innovate, experiment, and move at a fast pace. We are a learning organization with a growth mindset, and we are always looking for ways to improve our product and ourselves."
Open Table,https://www.opentable.com/careers/,"We love what can happen around the restaurant table. And since 1998 we have been committed to empowering that experience. From helping restaurants of all sizes thrive, to enabling diners to find and book the perfect table for every occasion, our story is one of human connection among diners and restaurants, and between restaurants and their communities. "
Fitbit,https://www.fitbit.com/careers,"At Fit bit, we are dedicated to helping people lead healthier, more active lives. From tech enthusiasts to triathletes, everyone brings something different to table. But we all do it for the same reason to create products and services that make a real difference to real people."
